Timestamp,Team Number,Photo (clear view; no people blocking please)
2/29/2024 21:47:52,3005,"https://drive.google.com/open?id=1Lz3sIKQhs1BE6z6SYJXFBYGadRVPCOXd, https://drive.google.com/open?id=1nKqMmrz-zmXCjlOdkm_EWTM5CS6SvJbx, https://drive.google.com/open?id=1muHsxv8jMV4-VqMcKKBwp1NvUpK6wy8A, https://drive.google.com/open?id=1Xnn45CYZgI2CJ2TEETE2PdJ7bqOqbK_8"
2/29/2024 21:48:36,5613,https://drive.google.com/open?id=10-_1LYBJX9DMbkVw3W7y9BpbCbfBiHS5
2/29/2024 21:48:44,3310,"https://drive.google.com/open?id=1sJzDhjZKsFiXRqcz_n0It6F9jM_bxZW8, https://drive.google.com/open?id=1xYUPxIG16_FSGP45XybUA1GaPnd9p_eu, https://drive.google.com/open?id=1WUihkM7lWe3HMn-WPprWINmFXNnhnRZ-, https://drive.google.com/open?id=1oiKuaL5yTIC89tsUy0VQiwEdxiHMdyJ9"
2/29/2024 21:48:45,5503,https://drive.google.com/open?id=1YW_A227bHHaOZ-UPEnDiBeiIFfbYCtOo
2/29/2024 21:49:43,5866,https://drive.google.com/open?id=1LAmWLC2ZAQqlk_TGjVPBY1xcPShzjoP1
2/29/2024 21:50:25,2689,"https://drive.google.com/open?id=1JS-ONIRFgOv52Gz4Kyg6GuVVO5Zrgi6z, https://drive.google.com/open?id=15hI36TnodrRjmK6uwijx2LTohVgnyv60, https://drive.google.com/open?id=1iGiW1vr4w0lrxokmzmgDc8gNfCjnUZp2, https://drive.google.com/open?id=1mcZOW9GFJsP9TyTBrjMansEPalvMta5R"
2/29/2024 21:50:57,1745,"https://drive.google.com/open?id=12-qdagpB-qbWDkHBigjk7e_XO7c9UUlR, https://drive.google.com/open?id=1G3P3pczQ1Y6iPjWpkb7UtU5RjSRtrysa, https://drive.google.com/open?id=17EWdEspyHl5SS_yECOGsc1nlUKvfn9hh"
2/29/2024 21:52:34,1164,"https://drive.google.com/open?id=17CJxeBrhLmgA-HmNwLQogKX8S0BUSGGs, https://drive.google.com/open?id=1KMNc2HqFJbAKLBxrd7PbbmHMGF9CAqt1, https://drive.google.com/open?id=13lqIDS6LPfGEd8IRFzx8-4CoRsbpLE5D"
2/29/2024 21:54:09,9655,"https://drive.google.com/open?id=1VpynIfAz7UzfwTnUXqjXnaonbQqpfIZB, https://drive.google.com/open?id=1zUptN8LFK_H2Nzga_N-2aLd_il_IUHCG"
2/29/2024 23:44:57,7125,https://drive.google.com/open?id=1-HOMejQQomVLyKkUqQ17MU-cdAP9ZAEc
