Timestamp,Division,Team Number (of the team you're scouting),Team Name (same idea as above),Weight (lbs),Drivebase,Type of Swerve?,Drive Motors,Vibe Check! (of robot not people),Over/Under Bumper Ground Pickup,Comments?,Programming Language,Scoring Ability (in auto),Leave Zone Auto?,Comments (about auto),Camera Usage? (to assist drivers),Scoring Ability (in teleop),Scoring Preference (in teleop),Pickup Ability,Pickup Preference,Can they score in trap?,Can they get onstage (hang)?,Final Comments
4/17/2024 14:24:33,Galileo,1807,Redbird Robotics,124,Swerve,MAXSwerve,Kraken,4,Under-Bumper,,Java,5 piece auto,Yes,,No,Both,Speaker,Both,Ground,No,Yes,
4/17/2024 14:27:24,Galileo,1923,The Midknight Inventors,124.5,Swerve,MK4i,Kraken,4,Over-Bumper,,"Didnt specify, guy didnt know","5 piece center subwoofer, 4 note source and amp side",Yes,,Yes,Both,Speaker,Both,Ground,Yes,Yes,"Can’t harmonize, nobody at pit but they had an faq"
4/17/2024 14:33:29,Galileo,2122,Taters,123.8,Swerve,Modified SDS,Kraken,5,Under-Bumper,,Java,3-4 note speaker auto under stage,Yes,,Yes,Both,Both,Both,Ground,Yes,Yes,
4/17/2024 14:35:53,Galileo,2637,Phantom catz,121,Swerve,MK4i,Kraken,4,Over-Bumper,,Java,Both,Yes,,Yes,Both,Both,Both,Ground,No,Yes,
4/17/2024 14:38:37,Galileo,829,The digital goats,116,Swerve,MK4i,Kraken,4,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker,Both,Ground,No,Yes,
4/17/2024 14:39:07,Galileo,8817,Buccaneer robotics,130,Swerve,MK4,Neo,5,Over-Bumper,,Java,2-3 note auto,Yes,,No,Both,Amp,Ground,Ground,No,Yes,
4/17/2024 14:39:23,Galileo,461,West side Boiler Invasion,109.6,Swerve,MK4i,Neo,5,Under-Bumper,"19 ft/sec, L3+, config auto, ",Java,Speaker,Yes,Configurâble auto,Yes,Both,Quick at amp but like speaker,Ground,Ground,No,Yes,Climb  time = 1 sec
4/17/2024 14:41:03,Galileo,9312,Nerd Spark,122.4,Swerve,MK4i,Krakens and falcons,5,Over-Bumper,,Java,"6 in middle, 4 on each side",Yes,,Yes,Both,Good at both,Ground,Ground,No,Yes,
4/17/2024 14:41:40,Galileo,2638,Couldn’t see,116.8,Swerve,MK4i,Falcon,4,Over-Bumper,,Java,Speaker,Yes,,Yes,Both,Both,Ground,Ground,No,Yes,
4/17/2024 14:43:04,Galileo,862,Lightning Robotics,143,Swerve,MK4i,Kraken Falcon,3,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker,Ground,Ground,No,Yes,
4/17/2024 14:43:27,Galileo,548,robostangs,123,Swerve,MK4i,krakens,5,Both,,Java,Speaker,Yes,,Yes,Both,Amp,Both,no,No,Yes,7 second cycle times and 1 second climb
4/17/2024 14:45:13,Galileo,868,Tech Hounds,117,Swerve,MK4i,Kraken,3,Over-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker but can do both equal,Ground,Ground,No,Yes,
4/17/2024 14:46:38,Galileo,670,homestead robotics,122 1/2,Swerve,MK4i,krakens,4,Over-Bumper,,Java,Both,Yes,,Yes,Both,both,Both,Ground,No,Sometimes,
4/17/2024 14:51:51,Galileo,971,Spartan Robotics,124.5,Tank,Not Swerve,Kraken,2,Over-Bumper,,C++,Speaker,Yes,,Yes,Both,Speaker,Ground,Ground,Yes,Yes,
4/17/2024 14:53:40,Galileo,5851,striking vikings,103,Swerve,MK4i,Falcon,5,Over-Bumper,,Java,Speaker,Yes,,No,Both,none,Ground,Ground,No,Yes,
4/17/2024 14:57:11,Galileo,6081,Digital Dislocaters,89,Swerve,MK4i,Vortex,3,Over-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker,Both,Ground,No,Yes,
4/17/2024 14:57:27,Galileo,5951,MA,52 kilograms (they aren’t from us),Swerve,MK4i,Kraken,3,Over-Bumper,,Java,Speaker,Yes,,Yes,Both,Amp,Both,Ground,No,Yes,
4/17/2024 15:01:41,Galileo,987,High Rollers,122,Swerve,MK4i,Kraken,5,Under-Bumper,,C++,Both,Yes,Smart auto where if there’s no note they can go for the other one autobomously,No,Both,Speaker,Both,Ground,Yes,Yes,
4/17/2024 15:03:06,Galileo,424,Rust belt robotics ,125.4,Swerve,MK4,Neo,5,Under-Bumper,,Java,Speaker,Yes,,No,Both,Amp,Ground,Ground,No,Yes,
4/17/2024 15:03:52,Galileo,324,Chips,117 without bumpers or battery,Swerve,MK4i,Falcon,3,Over-Bumper,,C++,Both,Yes,,No,Both,Amp,Ground,Ground,No,Yes,
4/17/2024 15:06:22,Galileo,539,Titan robotics,105.9,Swerve,MK4i,Neo,5,Over-Bumper,,Java,Speaker,Yes,,No,Both,Speaker,Both,Ground,No,Yes,
4/17/2024 15:07:00,Galileo,2337,Enginerds,122.6,Swerve,MK4i,Kraken,5,Under-Bumper,,Java,"5 note center,4 notes that start from source and amp side",Yes,,No,Both,Speaker,Ground,Ground,No,Yes,
4/17/2024 15:07:53,Galileo,1023,Bedford Express,123,Swerve,Level 3,Kraken,5,Over-Bumper,,Java,Both,Yes,,Yes,Both,Speaker,Ground,Ground,Yes,Yes,
4/17/2024 15:14:35,Galileo,1241,Theory 6,122,Swerve,MK4,Kraken,5,Under-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker,Ground,Ground,Yes,Yes,
4/17/2024 15:17:00,Galileo,3572,Wavelength,108,Swerve,MK4i,Neo,3,Over-Bumper,No comments,Java,Speaker,Yes,5 note that takes 3 close and the center preferred. Best one is a sneak auto that goes through the closest notes and goes to furthest notes.,Yes,Both,Amp,Both,Source,No,Yes,"Fast, score a lot and can get 12 cycles per match while defenders maybe 15 cycles undefended. Does shots from subwoofer and podium. Adjusts using cameras"
4/17/2024 15:18:40,Galileo,324,Chips,117,Swerve,MK4i,Falcon,4,Over-Bumper,,C++,Speaker,Yes,,No,Both,Amp,Ground,Ground,No,Yes,Like staying in corner between amp and speaker with other robots feeding. Very effective at keeping amp full
